Generation,Seed,Elite_Fitness,Best_Fitness,Mean_Fitness,Best_Proxy_MPNN,Best_Proxy_MPNN_norm,Best_ESM,Best_ESM_norm,Best_ThermoMPNN_ddG,Best_ThermoMPNN_norm,ESM_cache
45,42,0.6687708279600472,0.6758304892762781,0.6461698944407798,0.6100424475967366,0.8814959259345071,2.9967041035493214,0.5830586752957768,-0.06739978194236755,0.6933398881382941,12393
46,42,0.6701351174265812,0.6758304892762781,0.6474955124886163,0.6100424475967366,0.8814959259345071,2.9967041035493214,0.5830586752957768,-0.06739978194236755,0.6933398881382941,12662
47,42,0.670804877071438,0.6758304892762781,0.6481419314694262,0.6100424475967366,0.8814959259345071,2.9967041035493214,0.5830586752957768,-0.06739978194236755,0.6933398881382941,12931
48,42,0.6714684886246451,0.6823953777942293,0.6479809626720701,0.5996007806504006,0.8640505246899611,3.310555020968119,0.6092129184140099,-0.002859136462211609,0.6832627121641071,13200
49,42,0.6720975685887882,0.6823953777942293,0.6482820569676343,0.5996007806504006,0.8640505246899611,3.310555020968119,0.6092129184140099,-0.002859136462211609,0.6832627121641071,13469
50,42,0.6725054767292683,0.6823953777942293,0.6485787583804066,0.5996007806504006,0.8640505246899611,3.310555020968119,0.6092129184140099,-0.002859136462211609,0.6832627121641071,13737
51,42,0.6734808910068925,0.6823953777942293,0.6504425917279916,0.5996007806504006,0.8640505246899611,3.310555020968119,0.6092129184140099,-0.002859136462211609,0.6832627121641071,14006
52,42,0.6743436102231548,0.6845707707958739,0.6498476057228249,0.6067310430050922,0.8759634010913794,3.1732879479726157,0.5977739956643847,-0.12053960959116618,0.7016369758180192,14275
53,42,0.6747730898455032,0.6845707707958739,0.6501368587430687,0.6067310430050922,0.8759634010913794,3.1732879479726157,0.5977739956643847,-0.12053960959116618,0.7016369758180192,14545
54,42,0.6757729856026811,0.6845707707958739,0.6513575458889739,0.6067310430050922,0.8759634010913794,3.1732879479726157,0.5977739956643847,-0.12053960959116618,0.7016369758180192,14812
55,42,0.6768219251794868,0.6845707707958739,0.652328870693579,0.6067310430050922,0.8759634010913794,3.1732879479726157,0.5977739956643847,-0.12053960959116618,0.7016369758180192,15082
56,42,0.6779464679616567,0.6866518631437932,0.6541064495674337,0.608518883153715,0.8789504326557963,3.1364115595817568,0.5947009632984798,-0.18501726388931275,0.711704316544647,15351
57,42,0.6784423303097781,0.6866518631437932,0.65296651910515,0.608518883153715,0.8789504326557963,3.1364115595817568,0.5947009632984798,-0.18501726388931275,0.711704316544647,15621
58,42,0.679014841822014,0.6866518631437932,0.6542284416466476,0.608518883153715,0.8789504326557963,3.1364115595817568,0.5947009632984798,-0.18501726388931275,0.711704316544647,15890
59,42,0.679426468669392,0.6866518631437932,0.6552797267294359,0.608518883153715,0.8789504326557963,3.1364115595817568,0.5947009632984798,-0.18501726388931275,0.711704316544647,16160
60,42,0.679435168164598,0.6866518631437932,0.6536113395346961,0.608518883153715,0.8789504326557963,3.1364115595817568,0.5947009632984798,-0.18501726388931275,0.711704316544647,16427
61,42,0.6797721827544433,0.6866518631437932,0.6550862789671591,0.608518883153715,0.8789504326557963,3.1364115595817568,0.5947009632984798,-0.18501726388931275,0.711704316544647,16697
62,42,0.6800217318326988,0.6866518631437932,0.656392700498853,0.608518883153715,0.8789504326557963,3.1364115595817568,0.5947009632984798,-0.18501726388931275,0.711704316544647,16965
63,42,0.6806880700283935,0.6866518631437932,0.6574216673212351,0.608518883153715,0.8789504326557963,3.1364115595817568,0.5947009632984798,-0.18501726388931275,0.711704316544647,17234
64,42,0.6814680443311769,0.6892619614037471,0.6566191410450659,0.6103859137541099,0.8820697715628051,3.4103108843167624,0.6175259070263969,0.01622155706087748,0.6802835119266254,17503
65,42,0.6823571360550142,0.6892619614037471,0.6582378774474423,0.6103859137541099,0.8820697715628051,3.4103108843167624,0.6175259070263969,0.01622155706087748,0.6802835119266254,17772
66,42,0.6826072091853287,0.6892619614037471,0.6582204435726754,0.6103859137541099,0.8820697715628051,3.4103108843167624,0.6175259070263969,0.01622155706087748,0.6802835119266254,18040
67,42,0.6837763267939158,0.6898407181755141,0.6595591975288512,0.6099716560498396,0.88137765105113,3.2526153604189556,0.6043846133682463,-0.13936472535133362,0.7045762709372163,18308
68,42,0.6842868228767347,0.6898407181755141,0.6611419804773045,0.6099716560498396,0.88137765105113,3.2526153604189556,0.6043846133682463,-0.13936472535133362,0.7045762709372163,18577
69,42,0.6844470966369018,0.6898407181755141,0.660195906034426,0.6099716560498396,0.88137765105113,3.2526153604189556,0.6043846133682463,-0.13936472535133362,0.7045762709372163,18846
70,42,0.6844473773307735,0.6898407181755141,0.6612180784894228,0.6099716560498396,0.88137765105113,3.2526153604189556,0.6043846133682463,-0.13936472535133362,0.7045762709372163,19115
71,42,0.6849269407929004,0.6898407181755141,0.6602979400163997,0.6099716560498396,0.88137765105113,3.2526153604189556,0.6043846133682463,-0.13936472535133362,0.7045762709372163,19385
72,42,0.6853705346228184,0.6898407181755141,0.6618986597467078,0.6099716560498396,0.88137765105113,3.2526153604189556,0.6043846133682463,-0.13936472535133362,0.7045762709372163,19652
73,42,0.6859162679013228,0.6898407181755141,0.661541279832419,0.6099716560498396,0.88137765105113,3.2526153604189556,0.6043846133682463,-0.13936472535133362,0.7045762709372163,19922
74,42,0.6860497399209127,0.6898407181755141,0.6620504115822562,0.6099716560498396,0.88137765105113,3.2526153604189556,0.6043846133682463,-0.13936472535133362,0.7045762709372163,20192
75,42,0.6863365201346279,0.6898407181755141,0.6632291008535512,0.6099716560498396,0.88137765105113,3.2526153604189556,0.6043846133682463,-0.13936472535133362,0.7045762709372163,20460
76,42,0.6866840462280266,0.6911306207746056,0.6645226285736812,0.6073918128229744,0.8770673813909317,3.3755778233210245,0.614631485276752,-0.07592724363009135,0.6946713395268109,20728
77,42,0.6867584761372104,0.6911306207746056,0.6631460517421678,0.6073918128229744,0.8770673813909317,3.3755778233210245,0.614631485276752,-0.07592724363009135,0.6946713395268109,20997
78,42,0.6871251266262378,0.6911306207746056,0.6642229182823521,0.6073918128229744,0.8770673813909317,3.3755778233210245,0.614631485276752,-0.07592724363009135,0.6946713395268109,21266
79,42,0.6872624024046811,0.6911306207746056,0.6641440681756581,0.6073918128229744,0.8770673813909317,3.3755778233210245,0.614631485276752,-0.07592724363009135,0.6946713395268109,21536
80,42,0.6873700936841671,0.6911306207746056,0.6640815320337209,0.6073918128229744,0.8770673813909317,3.3755778233210245,0.614631485276752,-0.07592724363009135,0.6946713395268109,21805
81,42,0.6874847840604991,0.6911306207746056,0.664800460741162,0.6073918128229744,0.8770673813909317,3.3755778233210245,0.614631485276752,-0.07592724363009135,0.6946713395268109,22074
82,42,0.6876575358592315,0.6911306207746056,0.6648652693737861,0.6073918128229744,0.8770673813909317,3.3755778233210245,0.614631485276752,-0.07592724363009135,0.6946713395268109,22342
83,42,0.6879588128201273,0.6911306207746056,0.6637564614649368,0.6073918128229744,0.8770673813909317,3.3755778233210245,0.614631485276752,-0.07592724363009135,0.6946713395268109,22611
84,42,0.6880257693581602,0.6911306207746056,0.6633678723696764,0.6073918128229744,0.8770673813909317,3.3755778233210245,0.614631485276752,-0.07592724363009135,0.6946713395268109,22881
85,42,0.6880257693581602,0.6911306207746056,0.6636879293420889,0.6073918128229744,0.8770673813909317,3.3755778233210245,0.614631485276752,-0.07592724363009135,0.6946713395268109,23149
86,42,0.688123290033446,0.6911306207746056,0.6648662647255745,0.6073918128229744,0.8770673813909317,3.3755778233210245,0.614631485276752,-0.07592724363009135,0.6946713395268109,23418
87,42,0.6885497273970294,0.6925703282213362,0.6641647095636426,0.6084204767261886,0.8787860202471202,3.2993509769439697,0.6082792480786642,-0.16713136037190754,0.7089116671086005,23687
88,42,0.6886623498019399,0.6925703282213362,0.6639969098006044,0.6084204767261886,0.8787860202471202,3.2993509769439697,0.6082792480786642,-0.16713136037190754,0.7089116671086005,23955
89,42,0.6893842583665568,0.6938396415802772,0.6645544909437088,0.6056657699694118,0.8741835975755279,3.4369262576103212,0.6197438548008601,-0.0915031651655833,0.6971033155491384,24224
90,42,0.6893999606193664,0.6938396415802772,0.6653660808937141,0.6056657699694118,0.8741835975755279,3.4369262576103212,0.6197438548008601,-0.0915031651655833,0.6971033155491384,24492
91,42,0.6895981634740947,0.6938396415802772,0.6650524321215704,0.6056657699694118,0.8741835975755279,3.4369262576103212,0.6197438548008601,-0.0915031651655833,0.6971033155491384,24760
92,42,0.6897090391192059,0.6938396415802772,0.6657759781402326,0.6056657699694118,0.8741835975755279,3.4369262576103212,0.6197438548008601,-0.0915031651655833,0.6971033155491384,25028
93,42,0.6898828182741796,0.6938396415802772,0.6666514641947976,0.6056657699694118,0.8741835975755279,3.4369262576103212,0.6197438548008601,-0.0915031651655833,0.6971033155491384,25294
94,42,0.6898951224343223,0.6938396415802772,0.6668468388497295,0.6056657699694118,0.8741835975755279,3.4369262576103212,0.6197438548008601,-0.0915031651655833,0.6971033155491384,25564
95,42,0.6901053469439636,0.6946468678473501,0.6682000936574317,0.6080833521471971,0.8782227698025186,3.4972188512484235,0.6247682376040352,-0.03785794178644816,0.6887273169494292,25830
96,42,0.6903253766382847,0.6946468678473501,0.6678998546314662,0.6080833521471971,0.8782227698025186,3.4972188512484235,0.6247682376040352,-0.03785794178644816,0.6887273169494292,26099
97,42,0.6906278768837661,0.6946468678473501,0.6672262308707197,0.6080833521471971,0.8782227698025186,3.4972188512484235,0.6247682376040352,-0.03785794178644816,0.6887273169494292,26369
98,42,0.6908730801706752,0.6946468678473501,0.6684764946961355,0.6080833521471971,0.8782227698025186,3.4972188512484235,0.6247682376040352,-0.03785794178644816,0.6887273169494292,26638
99,42,0.6913919118211899,0.6946468678473501,0.6670442695664841,0.6080833521471971,0.8782227698025186,3.4972188512484235,0.6247682376040352,-0.03785794178644816,0.6887273169494292,26906
100,42,0.6918476361147281,0.6957525425269395,0.6681669358591641,0.6080892012554344,0.8782325421923723,3.4927886803944905,0.6243990566995409,-0.06536181171735128,0.6930216857956485,27175
101,42,0.6921619303993379,0.6957525425269395,0.66698509481167,0.6080892012554344,0.8782325421923723,3.4927886803944905,0.6243990566995409,-0.06536181171735128,0.6930216857956485,27443
102,42,0.6922696053059361,0.6957525425269395,0.6668577667223564,0.6080892012554344,0.8782325421923723,3.4927886803944905,0.6243990566995409,-0.06536181171735128,0.6930216857956485,27713
103,42,0.6924724527976006,0.6957525425269395,0.6688215520846522,0.6080892012554344,0.8782325421923723,3.4927886803944905,0.6243990566995409,-0.06536181171735128,0.6930216857956485,27981
104,42,0.6925645856526016,0.6957525425269395,0.6692475663663596,0.6080892012554344,0.8782325421923723,3.4927886803944905,0.6243990566995409,-0.06536181171735128,0.6930216857956485,28251
105,42,0.6926586035843711,0.6957525425269395,0.6704437960188276,0.6080892012554344,0.8782325421923723,3.4927886803944905,0.6243990566995409,-0.06536181171735128,0.6930216857956485,28520
106,42,0.6927496046709494,0.6957525425269395,0.670672841742402,0.6080892012554344,0.8782325421923723,3.4927886803944905,0.6243990566995409,-0.06536181171735128,0.6930216857956485,28787
107,42,0.693062591350136,0.6957558476100045,0.6696265769075539,0.6119892676001292,0.8847485728810761,3.4139668862024943,0.6178305738502079,-0.10772507190704346,0.699636153695618,29055
108,42,0.6931420370887076,0.6957558476100045,0.6685619928008495,0.6119892676001292,0.8847485728810761,3.4139668862024943,0.6178305738502079,-0.10772507190704346,0.699636153695618,29324
109,42,0.6931625093781745,0.6957558476100045,0.6695327937360852,0.6119892676001292,0.8847485728810761,3.4139668862024943,0.6178305738502079,-0.10772507190704346,0.699636153695618,29594
110,42,0.6933668626949218,0.696000936756791,0.6703423720685936,0.6098607207278864,0.8811923060086562,3.3886515418688457,0.6157209618224039,-0.15066065390904745,0.7063399821461924,29862
111,42,0.6934421674438195,0.696000936756791,0.6706850541766162,0.6098607207278864,0.8811923060086562,3.3886515418688457,0.6157209618224039,-0.15066065390904745,0.7063399821461924,30132
112,42,0.6934421674438195,0.696000936756791,0.671041741040128,0.6098607207278864,0.8811923060086562,3.3886515418688457,0.6157209618224039,-0.15066065390904745,0.7063399821461924,30401
113,42,0.6935714519163291,0.696000936756791,0.6699388602730111,0.6098607207278864,0.8811923060086562,3.3886515418688457,0.6157209618224039,-0.15066065390904745,0.7063399821461924,30670
